Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2020,Centro,Mujeres,0-5 años,1,114
2020,Sur-Metán,Mujeres,0-5 años,1,45
2020,Norte-Orán,Mujeres,0-5 años,1,49
2020,Norte-Tartagal,Mujeres,0-5 años,1,70
2021,Sur-Anta,Mujeres,0-5 años,1,7
2021,Centro,Mujeres,0-5 años,1,513
2021,Sur-Metán,Mujeres,0-5 años,1,41
2021,Norte-Orán,Mujeres,0-5 años,1,51
2021,Norte-Tartagal,Mujeres,0-5 años,1,99
2022,Sur-Anta,Mujeres,0-5 años,1,11
2022,Centro,Mujeres,0-5 años,1,503
2022,Sur-Metán,Mujeres,0-5 años,1,39
2022,Norte-Orán,Mujeres,0-5 años,1,53
2022,Norte-Tartagal,Mujeres,0-5 años,1,111
2020,Centro,Mujeres,11-14 años,3,117
2020,Sur-Metán,Mujeres,11-14 años,3,48
2020,Norte-Orán,Mujeres,11-14 años,3,54
2020,Norte-Tartagal,Mujeres,11-14 años,3,59
2021,Sur-Anta,Mujeres,11-14 años,3,5
2021,Centro,Mujeres,11-14 años,3,539
2021,Sur-Metán,Mujeres,11-14 años,3,54
2021,Norte-Orán,Mujeres,11-14 años,3,66
2021,Norte-Tartagal,Mujeres,11-14 años,3,112
2022,Sur-Anta,Mujeres,11-14 años,3,23
2022,Centro,Mujeres,11-14 años,3,615
2022,Sur-Metán,Mujeres,11-14 años,3,70
2022,Norte-Orán,Mujeres,11-14 años,3,96
2022,Norte-Tartagal,Mujeres,11-14 años,3,147
2020,Centro,Mujeres,15-17 años,4,1377
2020,Sur-Metán,Mujeres,15-17 años,4,70
2020,Norte-Orán,Mujeres,15-17 años,4,85
2020,Norte-Tartagal,Mujeres,15-17 años,4,119
2021,Sur-Anta,Mujeres,15-17 años,4,12
2021,Centro,Mujeres,15-17 años,4,581
2021,Sur-Metán,Mujeres,15-17 años,4,57
2021,Norte-Orán,Mujeres,15-17 años,4,105
2021,Norte-Tartagal,Mujeres,15-17 años,4,132
2022,Sur-Anta,Mujeres,15-17 años,4,17
2022,Centro,Mujeres,15-17 años,4,489
2022,Sur-Metán,Mujeres,15-17 años,4,76
2022,Norte-Orán,Mujeres,15-17 años,4,127
2022,Norte-Tartagal,Mujeres,15-17 años,4,148
2020,Centro,Mujeres,18-21 años,5,1429
2020,Sur-Metán,Mujeres,18-21 años,5,158
2020,Norte-Orán,Mujeres,18-21 años,5,192
2020,Norte-Tartagal,Mujeres,18-21 años,5,282
2021,Sur-Anta,Mujeres,18-21 años,5,23
2021,Centro,Mujeres,18-21 años,5,1566
2021,Sur-Metán,Mujeres,18-21 años,5,150
2021,Norte-Orán,Mujeres,18-21 años,5,220
2021,Norte-Tartagal,Mujeres,18-21 años,5,313
2022,Sur-Anta,Mujeres,18-21 años,5,54
2022,Centro,Mujeres,18-21 años,5,1269
2022,Sur-Metán,Mujeres,18-21 años,5,143
2022,Norte-Orán,Mujeres,18-21 años,5,225
2022,Norte-Tartagal,Mujeres,18-21 años,5,286
2020,Centro,Mujeres,22-29 años,6,3537
2020,Sur-Metán,Mujeres,22-29 años,6,286
2020,Norte-Orán,Mujeres,22-29 años,6,527
2020,Norte-Tartagal,Mujeres,22-29 años,6,610
2021,Sur-Anta,Mujeres,22-29 años,6,33
2021,Centro,Mujeres,22-29 años,6,4320
2021,Sur-Metán,Mujeres,22-29 años,6,381
2021,Norte-Orán,Mujeres,22-29 años,6,625
2021,Norte-Tartagal,Mujeres,22-29 años,6,750
2022,Sur-Anta,Mujeres,22-29 años,6,117
2022,Centro,Mujeres,22-29 años,6,3979
2022,Sur-Metán,Mujeres,22-29 años,6,360
2022,Norte-Orán,Mujeres,22-29 años,6,733
2022,Norte-Tartagal,Mujeres,22-29 años,6,758
2020,Centro,Mujeres,30-39 años,7,3567
2020,Sur-Metán,Mujeres,30-39 años,7,247
2020,Norte-Orán,Mujeres,30-39 años,7,424
2020,Norte-Tartagal,Mujeres,30-39 años,7,559
2021,Sur-Anta,Mujeres,30-39 años,7,40
2021,Centro,Mujeres,30-39 años,7,4402
